Bus,,,,,,,,,,,,,,,,,,
Number,Name,Area Name,Sub ID,Sub Name,Sub Num,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
44088,JDA PH3,NORTHWEST,3337415584,John Day Ph,337415584,500,1.07818,539.092,-11.67,0,-256.92,,,,0,0,40,404
26062,RINALDI,LADWP,3337421907,Rinaldi,337421907,500,1.07811,539.056,-44.44,427.47,32.15,,,,0,0,26,286
50560,KDS 500,B.C.HYDRO,3337415837,Kennedy Capacitor Station,337415837,500,1.07811,539.053,-9.19,57.12,-11.64,,,,0,0,50,500
41070,GARTAF12,NORTHWEST,3337413294,Garrison,337413294,500,1.07763,538.813,14.47,,,,,,0,0,40,486
41074,GARTAF22,NORTHWEST,3337407118,Beaver,337407118,500,1.07763,538.813,14.47,,,,,,0,0,40,486
50649,CRK 5C1K,B.C.HYDRO,3337410290,Creekside Cap. Stn.,337410290,500,1.07742,538.71,-26.96,,,,,,0,0,50,500
30020,OLINDA,PG AND E,3337419925,Olinda,337419925,500,1.07702,538.508,-31.27,-165.38,-89.25,,,0,0,0,30,300
26133,NAVCRY12,LADWP,3337416825,Linde Wilmington,337416825,500,1.07684,538.418,-36.12,,,,,,0,0,26,286
41001,SNOK TAP,NORTHWEST,3337423567,Sno-king,337423567,500,1.07672,538.36,-17.53,,,,,,0,0,40,400
40369,DWORSHAK,NORTHWEST,3337411304,Dworshak,337411304,500,1.07619,538.095,7.17,-1.93,-150.95,,,-172.34,0,0,40,407
26115,RINALDI2,LADWP,3337421907,Rinaldi,337421907,500,1.07611,538.053,-44.56,1034.8,8.11,,,,0,0,26,286
40966,ECHSCH12,NORTHWEST,3337411565,Echo Lake,337411565,500,1.07593,537.966,-6.99,,,,,,0,0,40,400
40972,RAVSCH11,NORTHWEST,3337421613,Raver,337421613,500,1.07574,537.871,-6.99,,,,,,0,0,40,400
623309,BROADVIEW A,MONTANA,,,,500,1.07555,537.774,23.73,,,,,,0,0,62,623
30041,TABTES11,PG AND E,3337424710,Table Mt.,337424710,500,1.07527,537.637,-26.06,,,,,,0,0,30,300
40974,RAVSCH12,NORTHWEST,3337422960,Schultz,337422960,500,1.07491,537.456,-0.15,,,,,,0,0,40,400
623310,BROADVIEW B,MONTANA,,,,500,1.07479,537.397,23.73,,,,,,0,0,62,623
40091,BELL BPA,NORTHWEST,3337407193,Bell,337407193,500,1.07438,537.19,6.86,,,,,,0,0,40,406
40749,MONROE,NORTHWEST,3337418498,Monroe,337418498,500,1.07413,537.063,-17.65,,,,,364.58,0,0,40,400
40970,ECHSCH13,NORTHWEST,3337422960,Schultz,337422960,500,1.07397,536.984,-0.62,,,,,,0,0,40,400
30031,TABVAC11,PG AND E,3337424710,Table Mt.,337424710,500,1.07393,536.966,-27.27,,,,,,0,0,30,300
30050,LOSBANOS,PG AND E,3337420295,Panoche (Los Banos Peaker),337420295,500,1.0739,536.949,-39.7,480.77,62.66,,,,0,0,30,300
41007,SNOKING,NORTHWEST,3337423567,Sno-king,337423567,500,1.07385,536.926,-18.41,,,,,,0,0,40,400
41066,DWOTAF12,NORTHWEST,3337413294,Garrison,337413294,500,1.07337,536.687,6.98,,,,,,0,0,40,407
30043,TABTES12,PG AND E,3337428867,Tesla Peaker,337428867,500,1.07315,536.574,-43.47,,,,,,0,0,30,300
51675,AMC 5C2N,B.C.HYDRO,3337406252,American Creek Capacitor Station,337406252,500,1.07267,536.334,-25.05,,,,,,0,0,50,500
30040,TESLA,PG AND E,3337428867,Tesla Peaker,337428867,500,1.07244,536.218,-37.86,1511.83,99.3,,,,0,0,30,300
40752,CUSMON11,NORTHWEST,3337410472,Custer,337410472,500,1.07243,536.217,-18.47,,,,,,0,0,40,400
51674,AMC 5C1N,B.C.HYDRO,3337406252,American Creek Capacitor Station,337406252,500,1.0724,536.201,-23.31,,,,,,0,0,50,500
40553,HOT SPR,NORTHWEST,3337414947,Hot Springs,337414947,500,1.07237,536.185,10.31,,,,,-171.12,0,0,40,486
30060,MIDWAY,PG AND E,3337418181,Midway Peaker (MIDWAY),337418181,500,1.07192,535.96,-39.03,683.76,-305.7,,,,0,0,30,300
40754,CUSMON21,NORTHWEST,3337410472,Custer,337410472,500,1.07145,535.727,-18.81,,,,,,0,0,40,400
64895,ROBINSON,SIERRA,,,,500,1.0711,535.548,-17.26,,,,,0,0,0,64,640
26134,CRYMCC11,LADWP,3337413733,Gramercy,337413733,500,1.07061,535.303,-33.7,,,,,,0,0,26,286
30044,VACTES11,PG AND E,3337408507,Calpeak Vaca Dixon No. 1,337408507,500,1.0703,535.148,-29.95,,,,,,0,0,30,300
40750,CHIMON11,NORTHWEST,3337409315,Chief Joseph,337409315,500,1.07008,535.04,-8.55,,,,,,0,0,40,403
30067,MIDWIR31,PG AND E,3337418181,Midway Peaker (MIDWAY),337418181,500,1.06964,534.821,-36.49,,,,,,0,0,30,300
50648,CHP 5C1K,B.C.HYDRO,3337409130,Chapmans Capacitor Station,337409130,500,1.06951,534.754,-25.87,,,,,,0,0,50,500
51672,MLS 5C3K,B.C.HYDRO,3337417859,Mcleese Capacitor Station,337417859,500,1.06912,534.561,-9.56,,,,,,0,0,50,500
18451,NWEST,NEVADA,3337419617,North West,337419617,500,1.06885,534.427,-26.38,647.2,-73.19,,,,0,0,18,184
