Bus Num,Bus Name,Sub ID,Sub Name,Sub Num
15093,HARQUAHA,3337414330,Harquahala Valley,337414330
15034,PERKINS,3337420609,Perkins,337420609
54525,GENESEE4,3337413367,Genesee,337413367
54630,SUNNYB1,,,
54623,DCGEN_P1,,,
45030,BURSUM11,3337408315,Burns,337408315
14006,YAVAPAI,3337432965,Yavapai,337432965
26123,CRYSTAL,3337410409,Crystal River,337410409
24840,DEVRED22,,,
24825,DEVRED12,3337420266,Palo Verde,337420266
14005,WESTWING,3337432406,Westwing,337432406
22885,SUNCREST,Sub52000083,Suncrest,52000083
15061,RUDD,3337422359,Rudd,337422359
24927,PALCOL11,,,
50702,ACK 500,3337406603,Ashton Creek,337406603
14008,FOUMOE11,3337418445,Moenkopi,337418445
14010,NAVMOE11,3337418445,Moenkopi,337418445
50704,KLY 500,3337415804,Kelly Lake,337415804
51653,AMC 5C1I,3337406252,American Creek Capacitor Station,337406252
29401,WINDHUB,3337406372,Antelope Valley Solar Ranch,337406372
50703,NIC 500,3337419352,Nicola,337419352
14000,CHOLLA,3337409370,Cholla,337409370
51134,VAS 500,32000395,Vas,32000395
29040,IEEC,3337415240,Inland Empire Energy,337415240
15080,PINAL_C,,,
24151,VALLEYSC,3337431453,Valley,337431453
15087,DUKE,,,
50463,SKA 500,3337423471,Skeena,337423471
30064,MIDVIN22,3337431660,Vincent,337431660
41068,GARTAF11,3337424728,Taft,337424728
41072,GARTAF21,3337413294,Garrison,337413294
30062,MIDVIN12,3337431660,Vincent,337431660
24374,REDBLUFF,,,
40774,NAPAVINE,3353097789,Napavine,353097789
14017,SGRLF,3338155437,Snowflake,338155437
40323,CUSTER W,3337410472,Custer,337410472
51650,CRK 5C1C,3337410290,Creekside Cap. Stn.,337410290
51654,AMC 5C2M,3337406252,American Creek Capacitor Station,337406252
23311,OCOTILLO 1,3337419852,Ocotillo Energy Facility,337419852
23310,OCOTILLO,No idea,C94,52000084
24236,RANCHVST,32008989,Ranch Vista,32008989
60155,HEMINWAY,3337407876,Bowmont,337407876
24801,DEVERS,3337410879,Devers,337410879
50045,CKY 500,3337409200,Cheekye,337409200
50561,WSN 500,3337432623,Williston,337432623
24999,DEVRSVC1,3337410879,Devers,337410879
25660,MIRA81X2,,,
14015,MOECED11,3337432406,Westwing,337432406
40045,ALLSTON,3337406167,Allston,337406167
50562,GLN 500,3337413522,Glenannan,337413522
47741,CENTR P1,3337409051,Centralia Switching Station,337409051
40821,PAUL,3337420435,Paul,337420435
47745,CENTR P2,3337409051,Centralia Switching Station,337409051
50206,CUSING11,3337410472,Custer,337410472
50791,CBK 500,3337410269,Cranbrook,337410269
50208,CUSING21,3337410472,Custer,337410472
51668,GUI 5C1K,3337419352,Nicola,337419352
24092,MIRALOMA,3337418352,Mira Loma,337418352
51101,KDY 5C3W,3337415837,Kennedy Capacitor Station,337415837
22933,ECOMIG11,,,
24928,PALCOL12,,,
26126,MCCVIC11,3337421907,Rinaldi,337421907
24138,SERRANO,3337423120,Serrano,337423120
24900,COLRIVER,,,
40797,OLYMPIA,3337419946,Olympia,337419946
24812,DEVRED11,3337420266,Palo Verde,337420266
24835,DEVRED21,3337410879,Devers,337410879
51665,KDY 5C1W,3337415837,Kennedy Capacitor Station,337415837
51666,KDY 5C2W,3337415837,Kennedy Capacitor Station,337415837
15070,ABEL,,,
24096,ELDLUG12,3337418451,Mohave,337418451
50464,TKW 500,3337428808,Telkwa,337428808
30026,OLIMAX11,3337419925,Olinda,337419925
22360,IMPRLVLY,3337415166,Imperial Valley (Drew),337415166
22538,N.GIMP11,3337415166,Imperial Valley (Drew),337415166
50194,ING 500,3337415231,Ingledow,337415231
50860,CBN 500,3337409552,Clayburn,337409552
14021,Q043B1,3337415096,Hyder,337415096
22342,HDWSH,3337415096,Hyder,337415096
50792,SEL 500,3337423078,Selkirk,337423078
14020,NAVDUG12,3337419093,Navajo (SRP),337419093
50701,REV 500,3337421795,Revelstoke,337421795
50047,MDN 500,3337418010,Meridian,337418010
50559,PCN 500,3337420473,Peace Canyon,337420473
50558,GMS 500,3337413667,Gordon M. Shrum,337413667
22537,HDWN.G11,3337418950,N. Gila (APS),337418950
15045,CORSIL12,3337423393,Silver King,337423393
15051,BROWNING,3337408132,Browning,337408132
22930,ECO,,,
14013,YAVWES11,3337418445,Moenkopi,337418445
22536,N.GILA,3337418950,N. Gila (APS),337418950
19039,MEAPER11,3337417895,Mead,337417895
15001,CORONADO,3337410112,Coronado,337410112
24060,MOEELD11,3337418445,Moenkopi,337418445
30070,LOSMID11,3337431660,Vincent,337431660
15041,SILVERKG,3337423393,Silver King,337423393
14012,CHOSAG11,3337409370,Cholla,337409370
15011,KYRENE,3337416147,Kyrene,337416147
24109,LUGMOH11,3337411689,Eldorado,337411689
26127,MCCVIC21,30004170,Tarzana,30004170
26263,RING2DUM,,,
56926,GENTC1A,3337413367,Genesee,337413367
56826,GENTC2A,3337413367,Genesee,337413367
14019,NAVDUG11,3337418445,Moenkopi,337418445
22468,MIGUEL,3337418186,Miguel,337418186
15044,CORSIL11,3337409370,Cholla,337409370
22472,MIGUELMP,3337418186,Miguel,337418186
26264,VIC KDUM,,,
14004,SAGUARO,3337422544,Saguaro,337422544
16000,TORTOLIT,3337429179,Tortolita,337429179
26128,NAVCRY11,3337416825,Linde Wilmington,337416825
40949,SATSOP,3337422900,Satsop,337422900
18896,RSHASC1,,,
26045,MARADE11,3337417588,Marketplace,337417588
19040,MEAPER12,3337420609,Perkins,337420609
60241,MIDHEM11,3337418158,Midpoint,337418158
67795,BRIPOP21,3337416029,Kinport,337416029
67794,BRIPOP11,3365669813,Populus,365669813
14104,FOUWES11,3337432278,West Mesa,337432278
65396,3MIBRI11,,,
10379,SANB-A11,3337406763,B-A,337406763
51756,SAC 25,No idea,SAC,52000181
51554,KWL 360,3337416143,Kwoiek Creek,337416143
51711,UHT 360,3337431369,Upper Harrison Water Power Project,337431369
51847,BTR 360,,,
51727,BR2 3X5,3337407989,Bridge River Terminal,337407989
51728,BR2 3X7,3337407989,Bridge River Terminal,337407989
50193,BRT 360,3337407989,Bridge River Terminal,337407989
50303,BR1 3T1,3337407989,Bridge River Terminal,337407989
51755,BR1 3T2,3337407989,Bridge River Terminal,337407989
65311,THREE &1,32008953,Three Pk,32008953
50192,WAH 360,3337431796,Wahleach,337431796
50191,ROS 360,3337422261,Rosedale,337422261
13402,BLACKWTR,3337407604,Blackwater,337407604
65385,BRIDGER,,,
40721,MCNARY,3337417877,McNary,337417877
10229,NORTON,3337419682,Norton,337419682
27135,MWC345,3337415260,Intermountain Generating,337415260
16110,SANMCK21,3337417852,McKinley,337417852
16108,SANMCK11,3337413318,Gateway,337413318
10294,SANDIA,3337422795,Sandia,337422795
10999,TAIBANMS,3356867398,NM Wind Energy Center,356867398
26278,INT PF BUS 1,,,
70627,LIMON3,,,
16102,MCKINLEY,3337417852,McKinley,337417852
26280,INT PF BUS 3,,,
26279,INT PF BUS 2,,,
40902,MCNROS11,3337417877,McNary,337417877
10116,GUADLUPE,3337414065,Guadalupe,337414065
26281,INT PF BUS 4,,,
26043,INTERMT,3337415260,Intermountain Generating,337415260
66235,PINTO PS,3337420825,Pinto,337420825
70626,LIMON2,3337417460,Manchief Power Station,337417460
10025,B-A,3337406763,B-A,337406763
10390,RIOPUERC,3337421945,Rio Puerco,337421945
12082,TAOS,3337424776,Taos,337424776
10369,WESTMESA,3337432278,West Mesa,337432278
26116,INTERMTY,3337415260,Intermountain Generating,337415260
26114,INTERMTX,3337415260,Intermountain Generating,337415260
66340,SIGURD,3337423371,Sigurd,337423371
70625,LIMON1,3337417460,Manchief Power Station,337417460
66281,REDBUSVC,3337421661,Red Butte,337421661
10389,SANB-A12,3337406763,B-A,337406763
10842,JICARILLA,,,
67582,PINTO &1,3337420825,Pinto,337420825
66280,REDBUTTE,3337421661,Red Butte,337421661
66225,PINTO,3337420825,Pinto,337420825
10232,OJO,3337419881,Ojo,337419881
67657,UTAH-NEV,No idea,Utah/Nevada,52000269
14105,FOUWES12,3337432278,West Mesa,337432278
65510,EMERY,3337415041,Hunter Plant,337415041
40225,CHIEF J4,3337409315,Chief Joseph,337409315
40223,CHIEF J3,3337409315,Chief Joseph,337409315
11014,ARR___PS,3337406525,Arroyo,337406525
65996,CLOVER,No idea,Clover,52000263
14100,CHOLLA,3337409370,Cholla,337409370
40891,ROCKY RH,3337422187,Rocky Reach,337422187
65995,MONA,3337418472,Mona,337418472
65394,CURRANTC,3337410456,Currant Creek,337410456
40691,MAPLE VL,3337417523,Maple Valley,337417523
65135,BENLOMND,3337407277,Ben Lomond,337407277
40892,MAPROC11,3337422187,Rocky Reach,337422187
65999,HUNMON11,,,
65312,THREE PK,32008953,Three Pk,32008953
40904,MCNROS12,3337422285,J.D. Ross,337422285
11217,AFTON,3337405935,Afton Generating Station,337405935
66400,SPAN FRK,3337423876,Spanish Fork,337423876
11010,AMRAD,3337406293,Amrad,337406293
65805,HUNTNGTN,3337415054,Huntington,337415054
11111,NEWMAN,3337419297,Newman,337419297
67793,KINPOP11,3365669813,Populus,365669813
11286,MACHOSPRNGHV,,,
11047,MACHO_SPRNGS,20 mi. NE Deming,Macho Springs,52000001
73193,STORY,3337407126,Beaver Creek,337407126
16114,PINALWES,3337420765,Pinal West,337420765
73108,LAR.RIVR,3337416477,Laramie River,337416477
65384,3MIKNOLL,,,
10393,LEF,3337410804,Luna Energy Facility,337410804
16104,SPRINGR,3337423972,Springerville,337423972
12250,SOCORO_W,,,
11266,PICANTE,3337408489,Caliente,337408489
