Branch,,,,,,,,,,,,,,
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Mvar From ,MVA From ,Lim MVA,% of MVA Limit (Max),MW Loss,Mvar Loss
14011,MORGAN,15011,KYRENE,99,Closed,Line,NO,2.8,2,3.5,0,0,0,0.12
14011,MORGAN,15061,RUDD,99,Closed,Line,NO,-1.2,0.1,1.2,0,0,0,0.02
14011,MORGAN,79053,PINPKBRB,99,Closed,Line,NO,14.4,19.4,24.2,0,0,0.02,1.68
14015,MOECED11,14014,CEDARMT,1,Closed,Line,NO,367.8,-132.9,391.1,2390,16.4,0.75,-89.52
14016,PNPKAPS,14102,PNPKAPS,99,Closed,Line,NO,99.5,207.7,230.3,0,0,-0.46,13.2
14016,PNPKAPS,14968,WPCC5ST1,99,Closed,Line,NO,-7.7,0.9,7.7,0,0,-0.03,0.62
14016,PNPKAPS,15011,KYRENE,99,Closed,Line,NO,-1.4,19.2,19.3,0,0,-0.01,0.45
14016,PNPKAPS,15041,SILVERKG,99,Closed,Line,NO,-4.3,2.5,5,0,0,0,0.22
14016,PNPKAPS,15051,BROWNING,99,Closed,Line,NO,-0.6,2,2.1,0,0,0,0.04
14016,PNPKAPS,15061,RUDD,99,Closed,Line,NO,-16.7,1.2,16.8,0,0,-0.03,0.75
14016,PNPKAPS,15087,DUKE,99,Closed,Line,NO,-2,0.4,2.1,0,0,0,0.08
14016,PNPKAPS,15926,SANTN 5S,99,Closed,Line,NO,2.2,5.4,5.8,0,0,-0.02,0.37
14016,PNPKAPS,19053,LIBERTY,99,Closed,Line,NO,0.5,4,4,0,0,0,0.15
14016,PNPKAPS,79053,PINPKBRB,99,Closed,Line,NO,29.7,176.4,178.9,0,0,-0.47,10.54
14017,SGRLF,14100,CHOLLA,99,Closed,Line,NO,5.3,0.9,5.4,0,0,0.06,0.15
15001,CORONADO,14017,SGRLF,1,Closed,Line,NO,59.8,-61.3,85.6,1732,5.1,0.08,-96.45
14020,NAVDUG12,14018,DUGAS,1,Closed,Series Cap,NO,482.3,92.9,491.2,1516,32.4,0,-35.83
14018,DUGAS,14103,PRECHCYN,99,Closed,Line,NO,1,2.4,2.6,0,0,0.03,0.08
14019,NAVDUG11,14020,NAVDUG12,1,Closed,Line,NO,487.1,-200.1,526.6,2046,25.7,4.81,-292.99
14021,Q043B1,14821,Q43_GEN1,99,Closed,Line,NO,-198.9,54,206.1,0,0,7.61,37.95
14021,Q043B1,22342,HDWSH,1,Closed,Line,NO,209.2,4.2,209.2,866,24.2,0.02,-1.3
14100,CHOLLA,14102,PNPKAPS,1,Closed,Line,NO,335,-15.5,335.4,751,44.7,7.98,-42.01
14100,CHOLLA,14103,PRECHCYN,1,Closed,Line,NO,354.1,-19.3,354.6,751,47.2,4.73,-18.5
14107,FOUCHO11,14100,CHOLLA,1,Closed,Series Cap,NO,203.1,27.8,205,825,25,0,-8.22
14108,FOUCHO21,14100,CHOLLA,2,Closed,Series Cap,NO,203.8,27.3,205.6,825,25.1,0,-8.27
14100,CHOLLA,79024,FLAGSTAF,99,Closed,Line,NO,19.6,3.6,19.9,0,0,0.12,2.89
14101,FOURCORN,14104,FOUWES11,1,Closed,Line,NO,599.6,-39.8,600.9,1003.9,60.2,23.2,107.45
14101,FOURCORN,14106,FOURIO11,1,Open,Line,NO,0,0,0,1195.1,0,0,0
14101,FOURCORN,14107,FOUCHO11,1,Closed,Line,NO,206.8,-79.6,221.6,687,32.3,3.69,-107.44
14101,FOURCORN,14108,FOUCHO21,2,Closed,Line,NO,207.5,-79.6,222.3,687,32.4,3.71,-106.91
14101,FOURCORN,14911,FCNGEN 1,99,Closed,Line,NO,8.9,31.5,32.7,0,0,0.01,0.85
14101,FOURCORN,14912,FCNGEN 2,99,Closed,Line,NO,9.8,34.7,36.1,0,0,0.01,0.94
14101,FOURCORN,14913,FCNGEN 3,99,Closed,Line,NO,10.3,36.2,37.6,0,0,0.01,0.98
14101,FOURCORN,14914,FCNGN4CC,1,Closed,Transformer,YES,-748.1,139.2,760.9,924,82.4,1.8,86.98
66235,PINTO PS,14101,FOURCORN,1,Closed,Line,NO,69.1,-17.5,71.3,1026,7.2,0.28,-86.32
79064,SHIPROCK,14101,FOURCORN,1,Closed,Line,NO,105,41.3,112.9,1200,9.6,0.04,-7.03
14101,FOURCORN,79064,SHIPROCK,99,Closed,Line,NO,-0.3,-0.1,0.3,0,0,0,0
14101,FOURCORN,79072,HESPERUS,99,Closed,Line,NO,-0.7,0.4,0.8,0,0,0,0.01
14103,PRECHCYN,14102,PNPKAPS,1,Closed,Line,NO,311,12.4,311.2,853,36.5,3.37,-23.15
14102,PNPKAPS,14968,WPCC5ST1,99,Closed,Line,NO,-28.2,-10.7,30.2,0,0,-0.17,3.6
14102,PNPKAPS,15011,KYRENE,99,Closed,Line,NO,-27.9,-27.6,39.3,0,0,-0.04,1.62
14102,PNPKAPS,15041,SILVERKG,99,Closed,Line,NO,-7.3,-3.1,7.9,0,0,-0.01,0.58
14102,PNPKAPS,15051,BROWNING,99,Closed,Line,NO,-4,-3.9,5.6,0,0,0,0.27
14102,PNPKAPS,15061,RUDD,99,Closed,Line,NO,-53.9,-36.3,65,0,0,-0.27,5.79
14102,PNPKAPS,15087,DUKE,99,Closed,Line,NO,-4.3,-2.7,5.1,0,0,0,0.43
14102,PNPKAPS,15926,SANTN 5S,99,Closed,Line,NO,0.1,0.6,0.6,0,0,0,0
14102,PNPKAPS,19053,LIBERTY,99,Closed,Line,NO,-3.9,-2.3,4.6,0,0,0,0.12
14102,PNPKAPS,79053,PINPKBRB,99,Closed,Line,NO,-39.7,18.6,43.8,0,0,-0.03,0.73
14104,FOUWES11,14105,FOUWES12,1,Closed,Series Cap,NO,576.4,-180.2,603.9,1003.9,60.2,0,-85.45
14911,FCNGEN 1,14912,FCNGEN 2,99,Closed,Line,NO,0,0,0,0,0,0,0
14911,FCNGEN 1,14913,FCNGEN 3,99,Closed,Line,NO,0,0,0,0,0,0,0
14912,FCNGEN 2,14913,FCNGEN 3,99,Closed,Line,NO,0,0,0,0,0,0,0
15021,PALOVRDE,14931,PALOVRD1,1,Closed,Transformer,YES,-1308.2,-147.3,1316.5,1533,88,2.77,168.78
15021,PALOVRDE,14932,PALOVRD2,1,Closed,Transformer,YES,-1311.3,-142.4,1319,1533,88.2,2.75,173.68
15021,PALOVRDE,14933,PALOVRD3,1,Closed,Transformer,YES,-1309.3,-139.1,1316.7,1533,88,2.69,176.96
14968,WPCC5ST1,15011,KYRENE,99,Closed,Line,NO,11,2.9,11.3,0,0,-0.04,0.91
14968,WPCC5ST1,15061,RUDD,99,Closed,Line,NO,11.9,-1.1,11.9,0,0,-0.02,0.44
14968,WPCC5ST1,19053,LIBERTY,99,Closed,Line,NO,5.6,2.4,6.1,0,0,-0.02,0.55
14968,WPCC5ST1,79053,PINPKBRB,99,Closed,Line,NO,9.3,6.1,11.1,0,0,-0.05,1.15
15001,CORONADO,15044,CORSIL11,1,Closed,Line,NO,875.6,-73.3,878.7,1732,50.7,2.21,-77.11
15001,CORONADO,15971,CORONAD1,1,Closed,Transformer,YES,-378.1,101.1,391.4,450,87,0.94,49.2
