Sub Num,Sub Name,Sub ID,Latitude,Longitude,Nominal kV(max)
337415804,Kelly Lake,3337415804,51.01,-121.7,500
337415837,Kennedy Capacitor Station,3337415837,55.08,-122.8,500
337415904,Kettle Falls,3337415904,48.62,-118.11,13.8
337416029,Kinport,3337416029,42.89,-112.56,345
337416058,Kitsap,3337416058,47.53,-122.7,230
337416063,Kittitas Valley Wind Power Project,3337416063,47.06,-120.41,230
337416080,Klondike Wind Farm,3337416080,45.59,-120.52,230
337416112,Koma Kulshan Associates,3337416112,48.54,-121.75,34.5
337416143,Kwoiek Creek,3337416143,50.05,-121.55,360
337416147,Kyrene,3337416147,33.35,-111.94,500
337416168,La Grande,3337416168,46.82,-122.3,13.8
337416186,La Pine,3337416186,43.61,-121.47,230
337416196,La Rosita,3337416196,32.6,-115.66,21
337416343,Lake Side Power Plant,3337416343,40.33,-111.76,345
337416345,Lake Siskiyou,3337416345,41.27,-122.3,69
337416353,Lake View,3337416353,47.96,-116.46,230
337416402,Lamar,3337416402,38.06,-102.5,230
337416431,Lancaster,3337416431,47.81,-116.83,230
337416446,Lane,3337416446,31.72,-106.3,500
337416457,Langdon,3337416457,50.94,-113.76,500
337416477,Laramie River,3337416477,42.11,-104.89,345
337416493,Larson,3337416493,47.19,-119.28,230
337416601,Leaning Juniper Wind,3337416601,45.67,-120.25,0.6
337416659,Lemolo 1,3337416659,43.36,-122.25,12
337416660,Lemolo 2,3337416660,43.31,-122.3,11.5
337416735,Lexington,3337416735,46.18,-122.91,230
337416751,Libby - PACIF,3337416751,48.39,-115.3,230
337416752,Libby - USCEPD,3337416752,48.39,-115.31,230
337416759,Liberty,3337416759,33.41,-112.5,345
337416825,Linde Wilmington,3337416825,33.79,-118.16,500
337416873,Little Falls (WWPC),3337416873,47.83,-117.92,4
337416875,Little Goose,3337416875,46.58,-118.05,500
337416876,Little Goose Ph,3337416876,46.58,-118.03,500
337416974,Lolo,3337416974,46.36,-116.92,230
337417000,Lone Pine,3337417000,42.35,-122.81,230
337417015,Long Lake,3337417015,47.84,-117.84,4
337417029,Longview,3337417029,46.14,-122.99,230
