Bus Number,Bus Name,Sub ID,Sub Name
41021,ST JOHNS,3337424074,St. Johns
41022,MAPSNO12,,
41043,SUMMER L,3337424493,Summer Lake
41044,MALSUM11,3337424493,Summer Lake
41046,MALSUM12,3337424493,Summer Lake
41048,PONSUM11,3337421061,Ponderosa
41049,TACOMA N,3337424717,Tacoma
41050,TACOMA S,3337421061,Ponderosa
41051,TACOMA,3337424717,Tacoma
41052,PONSUM12,3337424493,Summer Lake
41053,S TACOMA SS,3337424717,Tacoma
41054,PONSUM13,3337424493,Summer Lake
41055,S TACOMA,3337424717,Tacoma
41056,PONSUM14,3337424717,Tacoma
41057,TAFT,3337424728,Taft
41058,RAVTAC11,3337424717,Tacoma
41060,RAVTAC12,3337424728,Taft
41061,TAHKNICH,3337424732,Tahkenitch
41062,BELTAF11,3337411304,Dworshak
41064,DWOTAF11,3337424728,Taft
41066,DWOTAF12,3337413294,Garrison
41068,GARTAF11,3337424728,Taft
41070,GARTAF12,3337413294,Garrison
41072,GARTAF21,3337413294,Garrison
41074,GARTAF22,3337407118,Beaver
41075,TILLAMOK,3337429041,Tillamook
41079,TMBLCR T,3337429371,Tumble Creek
41083,TOLEDO,3337429118,Toledo
41091,TROUT CR,3342617588,Trout Creek
41092,TROUTD E,3337429325,Troutdale
41094,TROUTD W,3337429325,Troutdale
41095,TROUTDAL,3337429325,Troutdale
41111,VANTAGEN,3337431517,Vantage
41112,VANTAGES,3337431517,Vantage
41113,VANTAGE,3337431517,Vantage
41135,WARNER,3337431926,Warner
41138,WAUTOMA,3337432067,Wautoma
41141,WENDSON,3337432181,Wendson
41149,WHITE BL,3337432470,White Bluffs
41155,CASCADSTL,3337432684,Windishar
41156,CASCAS11,3337430120,Newberg
41161,WOODLAND,3337424647,Swift
41165,WREN,3352750245,Wren
41275,WESTBPA1,3337418854,Munro BPA System Control Center
41276,WESTBPA2,3337418854,Munro BPA System Control Center
41291,WINECTRY,32000255,Sulphur
41311,CELILO1,3337408977,Celilo Dc Converter Station
41312,CELILO2,3337408977,Celilo Dc Converter Station
41313,CELILO3,3337408977,Celilo Dc Converter Station
41314,CELILO4,3337408977,Celilo Dc Converter Station
41321,MARC SW2,30004107,Marcola
41327,SNOH S1,3337423568,Snohomish
41328,SNOH S2,3337423568,Snohomish
41329,SNOH S3,3337423568,Snohomish
41330,SNOH S4,3337423568,Snohomish
41341,BIGEDDY1,3337407430,Big Eddy
41342,BIGEDDY2,3337407430,Big Eddy
41343,BIGEDDY3,3337407430,Big Eddy
41344,BIGCEL31,3337407430,Big Eddy
41345,BIGCHE11,3337407430,Big Eddy
41346,MIDWAYB1,3337418164,Midway
41347,MIDWAYB2,3337418164,Midway
41348,MIDWAYB3,3337418164,Midway
41349,BIGCHE12,3337407430,Big Eddy
41350,BIGCEL41,3337407430,Big Eddy
41351,MCNRY S1,3337417877,McNary
41352,MCNRY S2,3337417877,McNary
41353,MCNRY S3,3337417877,McNary
41356,COULEES1,3337413746,Grand Coulee
41357,COULEES2,3337413746,Grand Coulee
41358,COULEES3,3337413746,Grand Coulee
41359,BELCOU51,3337407193,Bell
41401,ROCK CK,32008950,Rock Creek
41402,ROCK CK,32008950,Rock Creek
41450,KNIGHT,Found on WECC map,Knight
41451,OSTKNI11,Found on WECC map,Knight
41452,OSTKNI12,Found on WECC map,Knight
41739,COULEE19,3337413746,Grand Coulee
41740,COULEE20,3337413746,Grand Coulee
41741,COULEE21,3337413746,Grand Coulee
41742,COULEE22,3337413746,Grand Coulee
41743,COULEE23,3337413746,Grand Coulee
41744,COULEE24,3337413746,Grand Coulee
41751,COUL0105,3337413746,Grand Coulee
41752,COUL0609,3337413746,Grand Coulee
41753,COUL1013,3337413746,Grand Coulee
41754,COUL1418,3337413746,Grand Coulee
42100,SEDRO,3337423057,Sedro Woolley
42102,SEDBEL11,3337423057,Sedro Woolley
42103,SEDRO NT,3337423057,Sedro Woolley
42104,MARCH PT,3337417544,March Point Cogeneration Compa
42113,FREDONIA,3337412666,Fredonia (PSPL)
42300,SAMMAMSH,3337422702,Sammamish
42304,NOVELTY,30004496,Novelty
42306,MONNOV11,30004496,Novelty
42312,CASCADEP,3337408843,Cascade
42318,SAMMSH W,3337422702,Sammamish
42319,SAMMSH E,3337422702,Sammamish
42320,HORSRNCH,30004298,Horseranch
42321,HRNCHTAP,30004298,Horseranch
42324,HORHRT11,30004298,Horseranch
42361,WIND RDG,32008920,Wind Ridge
42363,WLD HORS,3337432576,Wild Horse Project
42373,POISN SP,Found Road,Poison Spring
42374,SCHNEBLY,Found Coulee,Schnebly
42412,KLAHANIE,30004132,Klahanie
42417,KLASAM11,30004132,Klahanie
42500,TALBOT N,3337424742,Talbot
42501,TALBOT S,3337424742,Talbot
42503,OBRIEN,3337419754,O'Brien
42505,CHRISTOP,3337409381,Christopher
42507,BERYDALE,3353097805,Berrydale
42568,BALDI,30004129,Baldi
42700,WHITE RV,3337432490,White River (PSPL)
42703,S TWHI11,3337424717,Tacoma
42802,ST CLAIR,,
42811,OLYST 11,,
42812,S TST 11,,
42900,S.BREM,3337423685,South Bremerton
42903,S.BSHE11,3337423244,Shelton
42987,PHALEN G,Found Sub,Phalen Gulcn
42991,DODGE JN,Found Junction Town,Dodge Junction
43017,BEAVER,3337407116,Beaver
43021,BEAVER,3337407116,Beaver
43039,BETHEL,3337407368,Bethel (PGE)
43040,BETSAN11,3337422861,Santiam
43047,BOARD F,3337407727,Boardman (PGE)
43049,BOARD F,3337407727,Boardman (PGE)
43089,CARVER,3337408830,Carver
43123,COYOTE,3337410234,Coyote Springs
43215,GRESHAM,3337414013,Gresham
43229,HARBORTN,3352750170,Harorton
43291,LINNEMAN,30004005,Linneman
43313,MCLOUGLN,3337417861,Mcloughlin
43314,MCLOUGE5,3337417861,Mcloughlin
43317,BIGMCL11,3337407430,Big Eddy
43320,BIGMCL12,3337407430,Big Eddy
43322,BIGMCL13,3337417861,Mcloughlin
43329,MONITOR,30004008,Monitor
43348,MURRAY H,3352750182,Murryhill
43409,PELTON,3337420530,Pelton
43459,RIVRGATE,3337421994,Rivergate
43482,ROUNDB S,3337422305,Round Butte
43483,ROUNDB N,3337422305,Round Butte
43485,ROUND BU,3337422305,Round Butte
43527,SHERWOOD,3337423288,Sherwood
43528,PEASHE11,3337420488,Pearl
43530,PEASHE12,3337420488,Pearl
43541,ST MARYS,3337424093,St. Marys
43597,TROJAN,3337429314,Trojan
43599,TROJAN 1,3337429314,Trojan
43600,SPRNGVIL,25000149,Springville
43601,TROJAN 2,3337429314,Trojan
43685,BLUELAKE,30004006,Blue Lake
43740,HORIZN,3352750211,Sunset
43773,PEARL #,3337420488,Pearl
43905,PORTW G1,3337421123,Port Of Washington
43909,PORTW,3337421123,Port Of Washington
44014,BON PH1,3337407786,Bonneville
44015,BON PH2,3337407786,Bonneville
44016,BON PH3,3337407786,Bonneville
44017,BON PH4,3337407786,Bonneville
44057,TDA PH3,3337428918,The Dalles Ph
44058,TDA PH4,3337428918,The Dalles Ph
44059,TDA PH5,3337428918,The Dalles Ph
44060,TDA PH6,3337428918,The Dalles Ph
44071,JDA 0102,3337415584,John Day Ph
44072,JDA 0304,3337415584,John Day Ph
44073,JDA 0506,3337415584,John Day Ph
44074,JDA 0708,3337415584,John Day Ph
44075,JDA 0910,3337415584,John Day Ph
44076,JDA 1112,3337415584,John Day Ph
44077,JDA 1314,3337415584,John Day Ph
44086,JDA PH1,3337415584,John Day Ph
44087,JDA PH2,3337415584,John Day Ph
44088,JDA PH3,3337415584,John Day Ph
