Sub ID,Sub Name,Bus Number,Bus Name,Area Name,Nom kV
3337422524,Sacajawea,40913,SACJAWEA,NORTHWEST,500
3337422524,Sacajawea,40917,SACJWA T,NORTHWEST,500
3337422637,Salem,40923,SALEM,NORTHWEST,230
3337422861,Santiam,40937,SANT TAP,NORTHWEST,230
3337422861,Santiam,40939,SANTIAM,NORTHWEST,230
3337422861,Santiam,40940,CHESAN11,NORTHWEST,230
3337422861,Santiam,40941,SANTIAM,NORTHWEST,500
3337422900,Satsop,40947,SATSOP,NORTHWEST,230
3337422900,Satsop,40949,SATSOP,NORTHWEST,500
3337422960,Schultz,40957,SCHULTZ,NORTHWEST,500
3337422960,Schultz,40958,COUSCH11,NORTHWEST,500
3337422960,Schultz,40960,COUSCH12,NORTHWEST,500
3337422960,Schultz,40961,COUSCH21,NORTHWEST,500
3337422960,Schultz,40962,COUSCH22,NORTHWEST,500
30004298,Horseranch,40963,HRTAP MS,NORTHWEST,230
3337411565,Echo Lake,40964,ECHSCH11,NORTHWEST,500
3337411565,Echo Lake,40966,ECHSCH12,NORTHWEST,500
3337422960,Schultz,40970,ECHSCH13,NORTHWEST,500
3337423244,Shelton,40971,SHELTON,NORTHWEST,230
3337421613,Raver,40972,RAVSCH11,NORTHWEST,500
3337423346,Sickler,40973,SICKLER,NORTHWEST,500
3337422960,Schultz,40974,RAVSCH12,NORTHWEST,500
3337423364,Sifton,40975,SIFT TP1,NORTHWEST,230
3337423081,Selle,40976,RAVSCH31,NORTHWEST,500
3337423364,Sifton,40977,SIFT TP2,NORTHWEST,230
3337423081,Selle,40978,RAVSCH41,NORTHWEST,500
3337423364,Sifton,40981,SIFTON 1,NORTHWEST,230
3337423364,Sifton,40983,SIFTON 2,NORTHWEST,230
3337423497,Slatt,40986,SLATT,NORTHWEST,230
3337423386,Silver Creek,40987,SILVR CK,NORTHWEST,230
3337423497,Slatt,40989,SLATT,NORTHWEST,500
3337423568,Snohomish,40993,SNOHOMS3,NORTHWEST,345
3337423568,Snohomish,40994,SNOHOMS4,NORTHWEST,345
3337423568,Snohomish,40996,BUCSLA11,NORTHWEST,500
,,40997,CHISNO31,NORTHWEST,345
,,40998,CHISNO41,NORTHWEST,345
3337423567,Sno-king,41001,SNOK TAP,NORTHWEST,500
3337423567,Sno-king,41004,SNOK S1,NORTHWEST,230
3337423567,Sno-king,41005,MAPSNO21,NORTHWEST,230
3337423567,Sno-king,41006,SNOK S2,NORTHWEST,230
3337423567,Sno-king,41007,SNOKING,NORTHWEST,500
3337423567,Sno-king,41008,SNOK S3,NORTHWEST,230
3337423567,Sno-king,41016,MAPSNO22,NORTHWEST,230
3337423567,Sno-king,41020,MAPSNO11,NORTHWEST,230
3337424074,St. Johns,41021,ST JOHNS,NORTHWEST,230
,,41022,MAPSNO12,NORTHWEST,230
3337424493,Summer Lake,41043,SUMMER L,NORTHWEST,500
3337424493,Summer Lake,41044,MALSUM11,NORTHWEST,500
3337424493,Summer Lake,41046,MALSUM12,NORTHWEST,500
3337421061,Ponderosa,41048,PONSUM11,NORTHWEST,500
3337424717,Tacoma,41049,TACOMA N,NORTHWEST,230
3337421061,Ponderosa,41050,TACOMA S,NORTHWEST,230
3337424717,Tacoma,41051,TACOMA,NORTHWEST,500
3337424493,Summer Lake,41052,PONSUM12,NORTHWEST,500
3337424717,Tacoma,41053,S TACOMA SS,NORTHWEST,230
3337424493,Summer Lake,41054,PONSUM13,NORTHWEST,500
3337424717,Tacoma,41055,S TACOMA,NORTHWEST,230
3337424717,Tacoma,41056,PONSUM14,NORTHWEST,500
3337424728,Taft,41057,TAFT,NORTHWEST,500
3337424717,Tacoma,41058,RAVTAC11,NORTHWEST,500
3337424728,Taft,41060,RAVTAC12,NORTHWEST,500
3337424732,Tahkenitch,41061,TAHKNICH,NORTHWEST,230
3337411304,Dworshak,41062,BELTAF11,NORTHWEST,500
3337424728,Taft,41064,DWOTAF11,NORTHWEST,500
3337413294,Garrison,41066,DWOTAF12,NORTHWEST,500
3337424728,Taft,41068,GARTAF11,NORTHWEST,500
3337413294,Garrison,41070,GARTAF12,NORTHWEST,500
3337413294,Garrison,41072,GARTAF21,NORTHWEST,500
3337407118,Beaver,41074,GARTAF22,NORTHWEST,500
3337429041,Tillamook,41075,TILLAMOK,NORTHWEST,230
3337429371,Tumble Creek,41079,TMBLCR T,NORTHWEST,230
3337429118,Toledo,41083,TOLEDO,NORTHWEST,230
3342617588,Trout Creek,41091,TROUT CR,NORTHWEST,230
3337429325,Troutdale,41092,TROUTD E,NORTHWEST,230
3337429325,Troutdale,41094,TROUTD W,NORTHWEST,230
3337429325,Troutdale,41095,TROUTDAL,NORTHWEST,500
3337431517,Vantage,41111,VANTAGEN,NORTHWEST,230
3337431517,Vantage,41112,VANTAGES,NORTHWEST,230
3337431517,Vantage,41113,VANTAGE,NORTHWEST,500
3337431926,Warner,41135,WARNER,NORTHWEST,230
3337432067,Wautoma,41138,WAUTOMA,NORTHWEST,500
3337432181,Wendson,41141,WENDSON,NORTHWEST,230
3337432470,White Bluffs,41149,WHITE BL,NORTHWEST,230
