Bus,,,,,,,,,,,,,,,,,,
Number,Name,Sub ID,Sub Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
40804,COUOLY14,3337419946,Olympia,NORTHWEST,300,0.99574,298.723,-16.63,,,,337419946,,,0,0,40,400
40795,OLYMPIA,3337419946,Olympia,NORTHWEST,300,0.98716,296.148,-25.19,,,,337419946,,,0,0,40,400
55012,NEWELL2,,,ALBERTA,240,1.07758,258.619,-19.8,,,,,,,525.45,428.84,54,567
55618,NEWELL1,,,ALBERTA,240,1.0774,258.576,-19.79,,,,,,0,0,-116.07,54,567
54485,HVDC_P1,,,ALBERTA,240,1.07067,256.96,-25.29,,,,,,160.49,1489.17,362.43,54,586
45183,LONEPINE,3337417000,Lone Pine,NORTHWEST,230,1.06722,245.46,-36.4,,,,337417000,,89.29,350.72,78.2,40,470
45195,MERIDINP,3337418010,Meridian,NORTHWEST,230,1.06424,244.776,-35.61,,,,337418010,,132.97,0,0,40,470
45063,COPCO,3341136831,Copco 1,NORTHWEST,230,1.06034,243.877,-36.29,,,,341136831,,,82.63,19.34,40,484
47814,JONESCYN,32008816,Jones Canyon,NORTHWEST,230,1.06014,243.833,-13.26,,,,32008816,,0,0.01,28.58,40,404
44287,JRDNB 1,,,NORTHWEST,230,1.05928,243.635,-8.59,,,,,,,0.01,20.86,40,404
44286,JRDNB TP,,,NORTHWEST,230,1.05922,243.621,-8.59,,,,,,,0,0,40,404
47465,DOOLEY T,3356868812,Windy Point/Tuolumne,NORTHWEST,230,1.05846,243.447,-13.63,,,,356868812,,,0,10.46,40,404
47855,STRPT 1,3337416080,Klondike Wind Farm,NORTHWEST,230,1.05718,243.151,-14.8,,,,337416080,,,0,3.31,40,404
45162,DR W TP,3337410535,Dalreed,NORTHWEST,230,1.05715,243.145,-11.84,,,,337410535,,,0,0,40,475
45160,DR E TP,3337410535,Dalreed,NORTHWEST,230,1.05715,243.145,-11.82,,,,337410535,,,0,0,40,475
45075,DALREED,3337410535,Dalreed,NORTHWEST,230,1.05715,243.145,-11.83,5.41,1.91,,337410535,,,0,0,40,475
47824,WILLIS T,3356868812,Windy Point/Tuolumne,NORTHWEST,230,1.0571,243.133,-13.62,,,,356868812,,,0,7.04,40,404
47831,HCAYON T,3337416080,Klondike Wind Farm,NORTHWEST,230,1.05696,243.101,-14.8,,,,337416080,,,0,2.17,40,404
47830,KLONDSCH,3337416080,Klondike Wind Farm,NORTHWEST,230,1.05641,242.974,-14.8,,,,337416080,,,0,12.03,40,404
47858,HARVST W,3337432474,White Creek Wind Project,NORTHWEST,230,1.05639,242.969,-13.4,,,,337432474,,,0,1.51,40,404
47857,MILLRA S,64000007,Miller,NORTHWEST,230,1.05629,242.946,-13.4,,,,64000007,,,0,0,40,404
47827,WHITE CK,3337432474,White Creek Wind Project,NORTHWEST,230,1.0561,242.902,-13.4,,,,337432474,,,-24.07,0.33,40,404
47486,GOLDEN_H,3352750394,Golden Hills Wind Farm,NORTHWEST,230,1.05517,242.688,-14.79,,,,352750394,,,0,5.09,40,404
